policy,drift,mean_shock_loss,mean_recovery_lag,mean_day240_success,n
oracle_maintenance,gripper_pad_wear,0.045519,7.678675,0.586978,1568
oracle_maintenance,lighting_perception,0.033712,7.253619,0.635035,1568
oracle_maintenance,object_distribution,0.047313,7.743251,0.634833,1568
oracle_maintenance,payload_mass_shift,0.040806,7.508999,0.606522,1568
oracle_maintenance,sensor_bias,0.035148,7.305327,0.627262,1568
oracle_maintenance,tactile_taxel_wear,0.043658,7.611674,0.588054,1568
overfit_rapid_adaptation,camera_extrinsic,0.108244,21.256776,0.128473,1568
overfit_rapid_adaptation,compliance_drift,0.101857,21.026855,0.053316,1568
overfit_rapid_adaptation,compound_shock,0.119385,21.657866,0.020480,1568
overfit_rapid_adaptation,controller_latency,0.095805,20.808998,0.139290,1568
overfit_rapid_adaptation,fixture_pose_shift,0.112489,21.409615,0.128051,1568
overfit_rapid_adaptation,friction_humidity,0.129851,22.034632,0.062277,1568
overfit_rapid_adaptation,gripper_pad_wear,0.117164,21.577917,0.099465,1568
overfit_rapid_adaptation,lighting_perception,0.100693,20.984961,0.175455,1568
overfit_rapid_adaptation,object_distribution,0.112420,21.407131,0.103209,1568
overfit_rapid_adaptation,payload_mass_shift,0.108064,21.250302,0.125931,1568
overfit_rapid_adaptation,sensor_bias,0.111779,21.384036,0.165791,1568
overfit_rapid_adaptation,tactile_taxel_wear,0.108640,21.271027,0.077895,1568
self_calibration,camera_extrinsic,0.098116,28.612181,0.195263,1568
self_calibration,compliance_drift,0.089434,28.299622,0.142111,1568
self_calibration,compound_shock,0.112656,27.950175,0.114701,1568
self_calibration,controller_latency,0.086449,28.192179,0.202836,1568
self_calibration,fixture_pose_shift,0.103442,28.803909,0.208863,1568
self_calibration,friction_humidity,0.121040,29.437455,0.158850,1568
self_calibration,gripper_pad_wear,0.090069,28.322496,0.175608,1568
self_calibration,lighting_perception,0.089922,28.317202,0.238107,1568
self_calibration,object_distribution,0.096936,28.569709,0.189188,1568
self_calibration,payload_mass_shift,0.097035,28.573245,0.196561,1568
self_calibration,sensor_bias,0.093176,28.434344,0.224498,1568
self_calibration,tactile_taxel_wear,0.099648,28.667322,0.156146,1568
sentinel_rehearsal,camera_extrinsic,0.100333,29.491972,0.142983,1568
sentinel_rehearsal,compliance_drift,0.094055,29.265989,0.088401,1568
sentinel_rehearsal,compound_shock,0.126277,29.053007,0.051805,1568
sentinel_rehearsal,controller_latency,0.088104,29.051728,0.149774,1568
sentinel_rehearsal,fixture_pose_shift,0.109839,29.834192,0.145346,1568
sentinel_rehearsal,friction_humidity,0.129571,30.544544,0.101829,1568
sentinel_rehearsal,gripper_pad_wear,0.113791,29.976479,0.124831,1568
sentinel_rehearsal,lighting_perception,0.090639,29.142994,0.181354,1568
sentinel_rehearsal,object_distribution,0.103428,29.603394,0.127096,1568
sentinel_rehearsal,payload_mass_shift,0.101605,29.537769,0.143446,1568
sentinel_rehearsal,sensor_bias,0.101664,29.539920,0.168888,1568
sentinel_rehearsal,tactile_taxel_wear,0.105884,29.691814,0.102364,1568
tactile_servo_refresh,camera_extrinsic,0.099374,23.577461,0.247283,1568
tactile_servo_refresh,compliance_drift,0.083059,22.990130,0.195770,1568
tactile_servo_refresh,compound_shock,0.101078,23.634983,0.173705,1568
tactile_servo_refresh,controller_latency,0.083050,22.989789,0.256979,1568
tactile_servo_refresh,fixture_pose_shift,0.085714,23.085697,0.268341,1568
tactile_servo_refresh,friction_humidity,0.100431,23.615514,0.211324,1568
tactile_servo_refresh,gripper_pad_wear,0.086131,23.100703,0.226776,1568
tactile_servo_refresh,lighting_perception,0.074291,22.674460,0.292691,1568
tactile_servo_refresh,object_distribution,0.100321,23.611558,0.247341,1568
tactile_servo_refresh,payload_mass_shift,0.087500,23.149992,0.249354,1568
tactile_servo_refresh,sensor_bias,0.082833,22.981997,0.278803,1568
tactile_servo_refresh,tactile_taxel_wear,0.096026,23.456949,0.209046,1568
uncertainty_rehearsal,camera_extrinsic,0.088062,23.430239,0.231836,1568
uncertainty_rehearsal,compliance_drift,0.085530,23.339098,0.175245,1568
uncertainty_rehearsal,compound_shock,0.109838,24.191162,0.143899,1568
uncertainty_rehearsal,controller_latency,0.078677,23.092359,0.243302,1568
uncertainty_rehearsal,fixture_pose_shift,0.090434,23.515611,0.248117,1568
uncertainty_rehearsal,friction_humidity,0.107748,24.138921,0.188118,1568
uncertainty_rehearsal,gripper_pad_wear,0.094980,23.679295,0.209918,1568
uncertainty_rehearsal,lighting_perception,0.081086,23.179085,0.279590,1568
uncertainty_rehearsal,object_distribution,0.092589,23.593206,0.224853,1568
uncertainty_rehearsal,payload_mass_shift,0.087131,23.396701,0.234207,1568
uncertainty_rehearsal,sensor_bias,0.090370,23.513335,0.264757,1568
uncertainty_rehearsal,tactile_taxel_wear,0.092988,23.607578,0.190300,1568
