policy,drift,mean_shock_loss,mean_recovery_lag,mean_day240_success,n
active_evaluation,camera_extrinsic,0.104623,33.086441,0.097538,1568
active_evaluation,compliance_drift,0.097660,32.676380,0.041314,1568
active_evaluation,compound_shock,0.115064,31.572156,0.012263,1568
active_evaluation,controller_latency,0.085301,32.390820,0.103067,1568
active_evaluation,fixture_pose_shift,0.121128,33.680605,0.087447,1568
active_evaluation,friction_humidity,0.136584,34.237023,0.052984,1568
active_evaluation,gripper_pad_wear,0.112275,33.361899,0.081892,1568
active_evaluation,lighting_perception,0.098750,32.875007,0.131054,1568
active_evaluation,object_distribution,0.114496,33.441874,0.072935,1568
active_evaluation,payload_mass_shift,0.104638,33.086963,0.097264,1568
active_evaluation,sensor_bias,0.118652,33.591469,0.120028,1568
active_evaluation,tactile_taxel_wear,0.109439,33.259787,0.055704,1568
adaptive_recalibration,camera_extrinsic,0.091074,26.438655,0.178931,1568
adaptive_recalibration,compliance_drift,0.087723,26.318041,0.123503,1568
adaptive_recalibration,compound_shock,0.120632,26.785207,0.089560,1568
adaptive_recalibration,controller_latency,0.079616,26.026168,0.188190,1568
adaptive_recalibration,fixture_pose_shift,0.099710,26.749568,0.187532,1568
adaptive_recalibration,friction_humidity,0.127041,27.733491,0.135886,1568
adaptive_recalibration,gripper_pad_wear,0.103951,26.902252,0.158670,1568
adaptive_recalibration,lighting_perception,0.096063,26.618253,0.223002,1568
adaptive_recalibration,object_distribution,0.103156,26.873613,0.167531,1568
adaptive_recalibration,payload_mass_shift,0.102778,26.860004,0.179866,1568
adaptive_recalibration,sensor_bias,0.105717,26.965826,0.208129,1568
adaptive_recalibration,tactile_taxel_wear,0.097905,26.684571,0.137694,1568
calendar_recalibration,camera_extrinsic,0.126903,50.408522,0.120879,1568
calendar_recalibration,compliance_drift,0.108640,44.256310,0.036696,1568
calendar_recalibration,compound_shock,0.110763,43.990154,0.010948,1568
calendar_recalibration,controller_latency,0.114538,49.963357,0.130858,1568
calendar_recalibration,fixture_pose_shift,0.131492,48.059716,0.099183,1568
calendar_recalibration,friction_humidity,0.151751,51.303022,0.040742,1568
calendar_recalibration,gripper_pad_wear,0.062356,48.084817,0.094022,1568
calendar_recalibration,lighting_perception,0.108441,49.743872,0.168261,1568
calendar_recalibration,object_distribution,0.113457,49.924460,0.075415,1568
calendar_recalibration,payload_mass_shift,0.126070,50.378518,0.118815,1568
calendar_recalibration,sensor_bias,0.078195,48.655008,0.151733,1568
calendar_recalibration,tactile_taxel_wear,0.123021,46.281013,0.056585,1568
conservative_fallback,camera_extrinsic,0.109048,126.000000,0.053879,1568
conservative_fallback,compliance_drift,0.086635,104.333333,0.012273,1568
conservative_fallback,compound_shock,0.105439,119.000000,0.010000,1568
conservative_fallback,controller_latency,0.090026,101.000000,0.060797,1568
conservative_fallback,fixture_pose_shift,0.124839,124.333333,0.030596,1568
conservative_fallback,friction_humidity,0.131201,137.666667,0.011800,1568
conservative_fallback,gripper_pad_wear,0.121041,136.000000,0.036354,1568
conservative_fallback,lighting_perception,0.101663,116.000000,0.086302,1568
conservative_fallback,object_distribution,0.114839,122.666667,0.019520,1568
conservative_fallback,payload_mass_shift,0.107989,126.000000,0.052071,1568
conservative_fallback,sensor_bias,0.125258,143.500000,0.074287,1568
conservative_fallback,tactile_taxel_wear,0.107399,116.000000,0.015989,1568
continual_finetuning,camera_extrinsic,0.104787,36.292346,0.120769,1568
continual_finetuning,compliance_drift,0.097668,34.817779,0.056849,1568
continual_finetuning,compound_shock,0.124241,34.092365,0.018944,1568
continual_finetuning,controller_latency,0.091859,35.826930,0.127352,1568
continual_finetuning,fixture_pose_shift,0.113746,36.614872,0.115969,1568
continual_finetuning,friction_humidity,0.130504,37.218128,0.073569,1568
continual_finetuning,gripper_pad_wear,0.115546,36.679651,0.101206,1568
continual_finetuning,lighting_perception,0.100593,36.141336,0.159640,1568
continual_finetuning,object_distribution,0.112356,36.564804,0.099509,1568
continual_finetuning,payload_mass_shift,0.103943,36.261965,0.120626,1568
continual_finetuning,sensor_bias,0.114848,36.654546,0.148322,1568
continual_finetuning,tactile_taxel_wear,0.113255,36.597192,0.075423,1568
domain_randomized,camera_extrinsic,0.114227,126.000000,0.061108,1568
domain_randomized,compliance_drift,0.092578,104.333333,0.012303,1568
domain_randomized,compound_shock,0.109837,119.000000,0.010000,1568
domain_randomized,controller_latency,0.096082,101.000000,0.068662,1568
domain_randomized,fixture_pose_shift,0.128601,124.333333,0.034524,1568
domain_randomized,friction_humidity,0.136215,137.666667,0.012101,1568
domain_randomized,gripper_pad_wear,0.126933,136.000000,0.039408,1568
domain_randomized,lighting_perception,0.105912,116.000000,0.097774,1568
domain_randomized,object_distribution,0.120131,122.666667,0.021406,1568
domain_randomized,payload_mass_shift,0.113752,126.000000,0.058234,1568
domain_randomized,sensor_bias,0.128151,143.500000,0.083928,1568
domain_randomized,tactile_taxel_wear,0.111993,116.000000,0.016835,1568
ensemble_gating,camera_extrinsic,0.103778,34.696013,0.111662,1568
ensemble_gating,compliance_drift,0.095718,33.676201,0.055890,1568
ensemble_gating,compound_shock,0.121349,32.879804,0.017881,1568
ensemble_gating,controller_latency,0.088519,34.146675,0.117758,1568
ensemble_gating,fixture_pose_shift,0.118122,35.212403,0.105163,1568
ensemble_gating,friction_humidity,0.130916,35.672980,0.068371,1568
ensemble_gating,gripper_pad_wear,0.115304,35.110932,0.095315,1568
ensemble_gating,lighting_perception,0.097465,34.468758,0.147444,1568
ensemble_gating,object_distribution,0.112329,35.003851,0.090320,1568
ensemble_gating,payload_mass_shift,0.104305,34.714998,0.112489,1568
ensemble_gating,sensor_bias,0.115746,35.126850,0.136135,1568
ensemble_gating,tactile_taxel_wear,0.109063,34.886263,0.069377,1568
frozen,camera_extrinsic,0.100984,126.000000,0.014389,1568
frozen,compliance_drift,0.066682,104.333333,0.010000,1568
frozen,compound_shock,0.089622,119.000000,0.010000,1568
frozen,controller_latency,0.079417,101.000000,0.015894,1568
frozen,fixture_pose_shift,0.115357,124.333333,0.010132,1568
frozen,friction_humidity,0.114587,137.666667,0.010000,1568
frozen,gripper_pad_wear,0.109247,136.000000,0.010933,1568
frozen,lighting_perception,0.096655,116.000000,0.028428,1568
frozen,object_distribution,0.097765,122.666667,0.010006,1568
frozen,payload_mass_shift,0.098397,126.000000,0.013364,1568
frozen,sensor_bias,0.126287,143.500000,0.022045,1568
frozen,tactile_taxel_wear,0.092618,116.000000,0.010000,1568
human_repair,camera_extrinsic,0.064200,17.231191,0.376076,1568
human_repair,compliance_drift,0.062912,17.184843,0.326033,1568
human_repair,compound_shock,0.101871,18.587351,0.305499,1568
human_repair,controller_latency,0.065288,17.270356,0.387944,1568
human_repair,fixture_pose_shift,0.065740,17.286650,0.408465,1568
human_repair,friction_humidity,0.091900,18.228407,0.338365,1568
human_repair,gripper_pad_wear,0.083964,17.942716,0.351361,1568
human_repair,lighting_perception,0.065201,17.267239,0.424301,1568
human_repair,object_distribution,0.074186,17.590700,0.383791,1568
human_repair,payload_mass_shift,0.086111,18.019997,0.378783,1568
human_repair,sensor_bias,0.055695,16.925010,0.410492,1568
human_repair,tactile_taxel_wear,0.077874,17.723462,0.339506,1568
meta_adaptation,camera_extrinsic,0.082348,21.324522,0.291557,1568
meta_adaptation,compliance_drift,0.081708,21.301476,0.233710,1568
meta_adaptation,compound_shock,0.102214,22.039697,0.203553,1568
meta_adaptation,controller_latency,0.077071,21.134556,0.303653,1568
meta_adaptation,fixture_pose_shift,0.087541,21.511474,0.313564,1568
meta_adaptation,friction_humidity,0.100526,21.978937,0.244621,1568
meta_adaptation,gripper_pad_wear,0.091732,21.662337,0.265853,1568
meta_adaptation,lighting_perception,0.077427,21.147380,0.340552,1568
meta_adaptation,object_distribution,0.086793,21.484544,0.288530,1568
meta_adaptation,payload_mass_shift,0.084362,21.397017,0.292865,1568
meta_adaptation,sensor_bias,0.084547,21.403691,0.326260,1568
meta_adaptation,tactile_taxel_wear,0.086471,21.472945,0.248798,1568
oracle_maintenance,camera_extrinsic,0.038914,7.440918,0.601355,1568
oracle_maintenance,compliance_drift,0.048019,7.768692,0.581877,1568
oracle_maintenance,compound_shock,0.060607,8.221869,0.594622,1568
oracle_maintenance,controller_latency,0.038318,7.419458,0.610331,1568
oracle_maintenance,fixture_pose_shift,0.044153,7.629502,0.650373,1568
oracle_maintenance,friction_humidity,0.052672,7.936179,0.598048,1568
