policy,threshold_fraction,horizon_days,mean_crossing_days,censored_fraction,n
active_evaluation,0.30,60,60.988778,0.996599,18816
active_evaluation,0.30,120,104.121326,0.261001,18816
active_evaluation,0.30,180,108.238895,0.000000,18816
active_evaluation,0.30,240,108.238895,0.000000,18816
active_evaluation,0.40,60,59.739723,0.833759,18816
active_evaluation,0.40,120,78.337260,0.010576,18816
active_evaluation,0.40,180,78.399051,0.000000,18816
active_evaluation,0.40,240,78.399051,0.000000,18816
active_evaluation,0.50,60,54.244902,0.424904,18816
active_evaluation,0.50,120,58.642413,0.000000,18816
active_evaluation,0.50,180,58.642413,0.000000,18816
active_evaluation,0.50,240,58.642413,0.000000,18816
active_evaluation,0.70,60,31.713377,0.000000,18816
active_evaluation,0.70,120,31.713377,0.000000,18816
active_evaluation,0.70,180,31.713377,0.000000,18816
active_evaluation,0.70,240,31.713377,0.000000,18816
active_evaluation,0.80,60,19.402248,0.000000,18816
active_evaluation,0.80,120,19.402248,0.000000,18816
active_evaluation,0.80,180,19.402248,0.000000,18816
active_evaluation,0.80,240,19.402248,0.000000,18816
adaptive_recalibration,0.30,60,61.000000,1.000000,18816
adaptive_recalibration,0.30,120,117.919323,0.851137,18816
adaptive_recalibration,0.30,180,149.090035,0.204294,18816
adaptive_recalibration,0.30,240,152.774819,0.009301,18816
adaptive_recalibration,0.40,60,60.999525,0.999681,18816
adaptive_recalibration,0.40,120,108.041699,0.386426,18816
adaptive_recalibration,0.40,180,114.553386,0.000744,18816
adaptive_recalibration,0.40,240,114.555051,0.000000,18816
adaptive_recalibration,0.50,60,60.272714,0.880580,18816
adaptive_recalibration,0.50,120,81.573917,0.028221,18816
adaptive_recalibration,0.50,180,81.751598,0.000000,18816
adaptive_recalibration,0.50,240,81.751598,0.000000,18816
adaptive_recalibration,0.70,60,42.685865,0.016741,18816
adaptive_recalibration,0.70,120,42.752628,0.000000,18816
adaptive_recalibration,0.70,180,42.752628,0.000000,18816
adaptive_recalibration,0.70,240,42.752628,0.000000,18816
adaptive_recalibration,0.80,60,27.437777,0.000000,18816
adaptive_recalibration,0.80,120,27.437777,0.000000,18816
adaptive_recalibration,0.80,180,27.437777,0.000000,18816
adaptive_recalibration,0.80,240,27.437777,0.000000,18816
calendar_recalibration,0.30,60,60.960941,0.996758,18816
calendar_recalibration,0.30,120,106.792808,0.441114,18816
calendar_recalibration,0.30,180,115.568037,0.007972,18816
calendar_recalibration,0.30,240,115.616615,0.000000,18816
calendar_recalibration,0.40,60,58.926450,0.834290,18816
calendar_recalibration,0.40,120,80.209781,0.054050,18816
calendar_recalibration,0.40,180,80.791576,0.000000,18816
calendar_recalibration,0.40,240,80.791576,0.000000,18816
calendar_recalibration,0.50,60,53.325483,0.457217,18816
calendar_recalibration,0.50,120,59.117621,0.000000,18816
calendar_recalibration,0.50,180,59.117621,0.000000,18816
calendar_recalibration,0.50,240,59.117621,0.000000,18816
calendar_recalibration,0.70,60,23.118692,0.000319,18816
calendar_recalibration,0.70,120,23.119730,0.000000,18816
calendar_recalibration,0.70,180,23.119730,0.000000,18816
calendar_recalibration,0.70,240,23.119730,0.000000,18816
