skill,drift,policy,day,success_probability
peg_insertion,compound_shock,frozen,0,0.877862
peg_insertion,compound_shock,frozen,1,0.858381
peg_insertion,compound_shock,frozen,2,0.839366
peg_insertion,compound_shock,frozen,3,0.820806
peg_insertion,compound_shock,frozen,4,0.802689
peg_insertion,compound_shock,frozen,5,0.785004
peg_insertion,compound_shock,frozen,6,0.767740
peg_insertion,compound_shock,frozen,7,0.750887
peg_insertion,compound_shock,frozen,8,0.734435
peg_insertion,compound_shock,frozen,9,0.718374
peg_insertion,compound_shock,frozen,10,0.702693
peg_insertion,compound_shock,frozen,11,0.687383
peg_insertion,compound_shock,frozen,12,0.672436
peg_insertion,compound_shock,frozen,13,0.657842
peg_insertion,compound_shock,frozen,14,0.643592
peg_insertion,compound_shock,frozen,15,0.629678
peg_insertion,compound_shock,frozen,16,0.616092
peg_insertion,compound_shock,frozen,17,0.602825
peg_insertion,compound_shock,frozen,18,0.589869
peg_insertion,compound_shock,frozen,19,0.577218
peg_insertion,compound_shock,frozen,20,0.564864
peg_insertion,compound_shock,frozen,21,0.552799
peg_insertion,compound_shock,frozen,22,0.541017
peg_insertion,compound_shock,frozen,23,0.529510
peg_insertion,compound_shock,frozen,24,0.518273
peg_insertion,compound_shock,frozen,25,0.507298
peg_insertion,compound_shock,frozen,26,0.496580
peg_insertion,compound_shock,frozen,27,0.486113
peg_insertion,compound_shock,frozen,28,0.475890
peg_insertion,compound_shock,frozen,29,0.465907
peg_insertion,compound_shock,frozen,30,0.456157
peg_insertion,compound_shock,frozen,31,0.446635
peg_insertion,compound_shock,frozen,32,0.348567
peg_insertion,compound_shock,frozen,33,0.341406
peg_insertion,compound_shock,frozen,34,0.334386
peg_insertion,compound_shock,frozen,35,0.327506
peg_insertion,compound_shock,frozen,36,0.320763
peg_insertion,compound_shock,frozen,37,0.314156
peg_insertion,compound_shock,frozen,38,0.307681
peg_insertion,compound_shock,frozen,39,0.301338
peg_insertion,compound_shock,frozen,40,0.295125
peg_insertion,compound_shock,frozen,41,0.289039
peg_insertion,compound_shock,frozen,42,0.283078
peg_insertion,compound_shock,frozen,43,0.277242
peg_insertion,compound_shock,frozen,44,0.271527
peg_insertion,compound_shock,frozen,45,0.265932
peg_insertion,compound_shock,frozen,46,0.260455
peg_insertion,compound_shock,frozen,47,0.255095
peg_insertion,compound_shock,frozen,48,0.249849
peg_insertion,compound_shock,frozen,49,0.244716
peg_insertion,compound_shock,frozen,50,0.239694
peg_insertion,compound_shock,frozen,51,0.234781
peg_insertion,compound_shock,frozen,52,0.229976
peg_insertion,compound_shock,frozen,53,0.225276
peg_insertion,compound_shock,frozen,54,0.220681
peg_insertion,compound_shock,frozen,55,0.216187
peg_insertion,compound_shock,frozen,56,0.211794
peg_insertion,compound_shock,frozen,57,0.207500
peg_insertion,compound_shock,frozen,58,0.203302
peg_insertion,compound_shock,frozen,59,0.199199
peg_insertion,compound_shock,frozen,60,0.195190
peg_insertion,compound_shock,frozen,61,0.191272
peg_insertion,compound_shock,frozen,62,0.187445
peg_insertion,compound_shock,frozen,63,0.183705
peg_insertion,compound_shock,frozen,64,0.180051
peg_insertion,compound_shock,frozen,65,0.176482
peg_insertion,compound_shock,frozen,66,0.172996
peg_insertion,compound_shock,frozen,67,0.169590
peg_insertion,compound_shock,frozen,68,0.166264
peg_insertion,compound_shock,frozen,69,0.163015
peg_insertion,compound_shock,frozen,70,0.159842
peg_insertion,compound_shock,frozen,71,0.156743
peg_insertion,compound_shock,frozen,72,0.153716
peg_insertion,compound_shock,frozen,73,0.150759
peg_insertion,compound_shock,frozen,74,0.147871
peg_insertion,compound_shock,frozen,75,0.145050
peg_insertion,compound_shock,frozen,76,0.142295
peg_insertion,compound_shock,frozen,77,0.139603
peg_insertion,compound_shock,frozen,78,0.136973
peg_insertion,compound_shock,frozen,79,0.134404
peg_insertion,compound_shock,frozen,80,0.131893
peg_insertion,compound_shock,frozen,81,0.129439
peg_insertion,compound_shock,frozen,82,0.127041
peg_insertion,compound_shock,frozen,83,0.124697
peg_insertion,compound_shock,frozen,84,0.122406
peg_insertion,compound_shock,frozen,85,0.120165
peg_insertion,compound_shock,frozen,86,0.117974
peg_insertion,compound_shock,frozen,87,0.115832
peg_insertion,compound_shock,frozen,88,0.024967
peg_insertion,compound_shock,frozen,89,0.024836
peg_insertion,compound_shock,frozen,90,0.024678
peg_insertion,compound_shock,frozen,91,0.024494
peg_insertion,compound_shock,frozen,92,0.024285
peg_insertion,compound_shock,frozen,93,0.024053
peg_insertion,compound_shock,frozen,94,0.023799
peg_insertion,compound_shock,frozen,95,0.023524
peg_insertion,compound_shock,frozen,96,0.023229
peg_insertion,compound_shock,frozen,97,0.022915
peg_insertion,compound_shock,frozen,98,0.022584
peg_insertion,compound_shock,frozen,99,0.022236
peg_insertion,compound_shock,frozen,100,0.021872
peg_insertion,compound_shock,frozen,101,0.021494
peg_insertion,compound_shock,frozen,102,0.021103
peg_insertion,compound_shock,frozen,103,0.020699
peg_insertion,compound_shock,frozen,104,0.020283
peg_insertion,compound_shock,frozen,105,0.019856
peg_insertion,compound_shock,frozen,106,0.019419
peg_insertion,compound_shock,frozen,107,0.018974
peg_insertion,compound_shock,frozen,108,0.018520
peg_insertion,compound_shock,frozen,109,0.018058
peg_insertion,compound_shock,frozen,110,0.017590
peg_insertion,compound_shock,frozen,111,0.017117
peg_insertion,compound_shock,frozen,112,0.016638
peg_insertion,compound_shock,frozen,113,0.016155
peg_insertion,compound_shock,frozen,114,0.015669
peg_insertion,compound_shock,frozen,115,0.015180
peg_insertion,compound_shock,frozen,116,0.014688
peg_insertion,compound_shock,frozen,117,0.014196
peg_insertion,compound_shock,frozen,118,0.013703
peg_insertion,compound_shock,frozen,119,0.013210
peg_insertion,compound_shock,frozen,120,0.012718
peg_insertion,compound_shock,frozen,121,0.012227
peg_insertion,compound_shock,frozen,122,0.011738
peg_insertion,compound_shock,frozen,123,0.011252
peg_insertion,compound_shock,frozen,124,0.010769
peg_insertion,compound_shock,frozen,125,0.010289
peg_insertion,compound_shock,frozen,126,0.010000
peg_insertion,compound_shock,frozen,127,0.010000
peg_insertion,compound_shock,frozen,128,0.010000
peg_insertion,compound_shock,frozen,129,0.010000
peg_insertion,compound_shock,frozen,130,0.010000
peg_insertion,compound_shock,frozen,131,0.010000
peg_insertion,compound_shock,frozen,132,0.010000
peg_insertion,compound_shock,frozen,133,0.010000
peg_insertion,compound_shock,frozen,134,0.010000
peg_insertion,compound_shock,frozen,135,0.010000
peg_insertion,compound_shock,frozen,136,0.010000
peg_insertion,compound_shock,frozen,137,0.010000
peg_insertion,compound_shock,frozen,138,0.010000
peg_insertion,compound_shock,frozen,139,0.010000
peg_insertion,compound_shock,frozen,140,0.010000
peg_insertion,compound_shock,frozen,141,0.010000
peg_insertion,compound_shock,frozen,142,0.010000
peg_insertion,compound_shock,frozen,143,0.010000
peg_insertion,compound_shock,frozen,144,0.010000
peg_insertion,compound_shock,frozen,145,0.010000
peg_insertion,compound_shock,frozen,146,0.010000
peg_insertion,compound_shock,frozen,147,0.010000
peg_insertion,compound_shock,frozen,148,0.010000
peg_insertion,compound_shock,frozen,149,0.010000
peg_insertion,compound_shock,frozen,150,0.010000
peg_insertion,compound_shock,frozen,151,0.010000
peg_insertion,compound_shock,frozen,152,0.010000
peg_insertion,compound_shock,frozen,153,0.010000
peg_insertion,compound_shock,frozen,154,0.010000
peg_insertion,compound_shock,frozen,155,0.010000
peg_insertion,compound_shock,frozen,156,0.010000
peg_insertion,compound_shock,frozen,157,0.010000
peg_insertion,compound_shock,frozen,158,0.010000
peg_insertion,compound_shock,frozen,159,0.010000
peg_insertion,compound_shock,frozen,160,0.010000
peg_insertion,compound_shock,frozen,161,0.010000
peg_insertion,compound_shock,frozen,162,0.010000
peg_insertion,compound_shock,frozen,163,0.010000
peg_insertion,compound_shock,frozen,164,0.010000
peg_insertion,compound_shock,frozen,165,0.010000
peg_insertion,compound_shock,frozen,166,0.010000
peg_insertion,compound_shock,frozen,167,0.010000
peg_insertion,compound_shock,frozen,168,0.010000
peg_insertion,compound_shock,frozen,169,0.010000
peg_insertion,compound_shock,frozen,170,0.010000
peg_insertion,compound_shock,frozen,171,0.010000
peg_insertion,compound_shock,frozen,172,0.010000
peg_insertion,compound_shock,frozen,173,0.010000
peg_insertion,compound_shock,frozen,174,0.010000
peg_insertion,compound_shock,frozen,175,0.010000
peg_insertion,compound_shock,frozen,176,0.010000
peg_insertion,compound_shock,frozen,177,0.010000
peg_insertion,compound_shock,frozen,178,0.010000
peg_insertion,compound_shock,frozen,179,0.010000
peg_insertion,compound_shock,frozen,180,0.010000
peg_insertion,compound_shock,frozen,181,0.010000
peg_insertion,compound_shock,frozen,182,0.010000
peg_insertion,compound_shock,frozen,183,0.010000
peg_insertion,compound_shock,frozen,184,0.010000
peg_insertion,compound_shock,frozen,185,0.010000
peg_insertion,compound_shock,frozen,186,0.010000
peg_insertion,compound_shock,frozen,187,0.010000
peg_insertion,compound_shock,frozen,188,0.010000
peg_insertion,compound_shock,frozen,189,0.010000
peg_insertion,compound_shock,frozen,190,0.010000
peg_insertion,compound_shock,frozen,191,0.010000
peg_insertion,compound_shock,frozen,192,0.010000
peg_insertion,compound_shock,frozen,193,0.010000
peg_insertion,compound_shock,frozen,194,0.010000
peg_insertion,compound_shock,frozen,195,0.010000
peg_insertion,compound_shock,frozen,196,0.010000
peg_insertion,compound_shock,frozen,197,0.010000
peg_insertion,compound_shock,frozen,198,0.010000
peg_insertion,compound_shock,frozen,199,0.010000
peg_insertion,compound_shock,frozen,200,0.010000
peg_insertion,compound_shock,frozen,201,0.010000
peg_insertion,compound_shock,frozen,202,0.010000
peg_insertion,compound_shock,frozen,203,0.010000
peg_insertion,compound_shock,frozen,204,0.010000
peg_insertion,compound_shock,frozen,205,0.010000
peg_insertion,compound_shock,frozen,206,0.010000
peg_insertion,compound_shock,frozen,207,0.010000
peg_insertion,compound_shock,frozen,208,0.010000
