skill,drift,policy,n,mean_h50,censored50,mean_h80,censored80,day60,day120,day180,day240,auc,uptime70,maintenance_cost,evaluation_cost,shock_loss,recovery_lag,hazard_proxy,nonmonotonic_index,durability_score
adhesive_peeling,camera_extrinsic,active_evaluation,112,57.491493,0.000000,17.747962,0.000000,0.401517,0.199285,0.084315,0.072141,0.270331,0.079840,0.669536,0.088198,0.101653,32.979524,0.013248,0.009057,0.380475
adhesive_peeling,camera_extrinsic,adaptive_recalibration,112,69.640609,0.000000,25.785883,0.000000,0.488032,0.305199,0.175149,0.145641,0.352659,0.070819,0.621712,0.056126,0.089459,26.380530,0.009866,0.019194,0.700002
adhesive_peeling,camera_extrinsic,calendar_recalibration,112,67.435907,0.000000,11.675350,0.000000,0.477413,0.258086,0.117719,0.083194,0.283889,0.011591,0.307440,0.036081,0.126012,50.376439,0.011227,0.111787,0.644588
adhesive_peeling,camera_extrinsic,conservative_fallback,112,52.301115,0.000000,16.905913,0.000000,0.374708,0.160455,0.050739,0.030912,0.238159,0.063136,0.290360,0.044099,0.104197,126.000000,0.015316,0.006767,0.311484
adhesive_peeling,camera_extrinsic,continual_finetuning,112,66.842987,0.000000,20.554340,0.000000,0.449851,0.240288,0.112264,0.090021,0.303545,0.083185,0.813008,0.060135,0.102219,36.199890,0.011133,0.010199,0.427842
adhesive_peeling,camera_extrinsic,domain_randomized,112,57.225597,0.000000,18.453542,0.000000,0.400752,0.179959,0.059285,0.034288,0.253269,0.086002,0.341600,0.032072,0.110747,126.000000,0.013958,0.005013,0.364732
adhesive_peeling,camera_extrinsic,ensemble_gating,112,61.571221,0.000000,18.963503,0.000000,0.422151,0.222522,0.103515,0.086861,0.287826,0.085390,0.597800,0.064144,0.100256,34.569225,0.012132,0.014309,0.509646
adhesive_peeling,camera_extrinsic,frozen,112,36.610184,0.000000,11.670366,0.000000,0.273536,0.077809,0.010041,0.010020,0.172359,0.011555,0.000000,0.020045,0.088618,126.000000,0.022511,0.012036,0.238168
adhesive_peeling,camera_extrinsic,human_repair,112,155.314997,0.000000,40.289512,0.000000,0.616259,0.475987,0.362610,0.329053,0.499827,0.125163,1.147776,0.096216,0.067164,17.337890,0.003243,0.028652,1.433199
adhesive_peeling,camera_extrinsic,meta_adaptation,112,117.549825,0.000000,35.802262,0.000000,0.573868,0.407964,0.298161,0.244981,0.443435,0.102304,0.860832,0.068153,0.081146,21.281257,0.005025,0.030601,1.164840
adhesive_peeling,camera_extrinsic,oracle_maintenance,112,241.000000,1.000000,83.496125,0.000000,0.717461,0.653740,0.588919,0.550487,0.659015,0.277897,1.058960,0.120270,0.044497,7.641899,0.001160,0.022478,2.709956
adhesive_peeling,camera_extrinsic,overfit_rapid_adaptation,112,71.173192,0.000000,27.474871,0.000000,0.509783,0.297319,0.147259,0.085358,0.343234,0.070443,0.427000,0.056126,0.107211,21.219585,0.010546,0.004293,0.830206
adhesive_peeling,camera_extrinsic,self_calibration,112,70.543941,0.000000,22.665839,0.000000,0.505372,0.317487,0.191159,0.162239,0.361225,0.076869,0.645624,0.052117,0.095884,28.531813,0.009497,0.020217,0.701970
adhesive_peeling,camera_extrinsic,sentinel_rehearsal,112,68.084534,0.000000,20.223618,0.000000,0.461878,0.261117,0.138019,0.114465,0.318634,0.083840,0.573888,0.052117,0.098346,29.420463,0.010574,0.009259,0.657003
adhesive_peeling,camera_extrinsic,tactile_servo_refresh,112,93.183006,0.000000,29.748676,0.000000,0.531130,0.372212,0.254309,0.209102,0.411123,0.095941,0.765184,0.072162,0.097142,23.497123,0.006798,0.021865,0.928998
adhesive_peeling,camera_extrinsic,uncertainty_rehearsal,112,84.820726,0.000000,28.274152,0.000000,0.538970,0.359671,0.233424,0.191813,0.393840,0.077831,0.717360,0.072162,0.086079,23.358855,0.007627,0.012815,0.851877
adhesive_peeling,compliance_drift,active_evaluation,112,47.617501,0.000000,14.646565,0.000000,0.346701,0.151080,0.068775,0.019827,0.220758,0.032205,0.825440,0.090706,0.093625,32.626932,0.017313,0.023353,0.062337
adhesive_peeling,compliance_drift,adaptive_recalibration,112,62.366930,0.000000,20.596926,0.000000,0.432256,0.247145,0.149652,0.095004,0.297627,0.077492,0.780416,0.057722,0.092114,26.476094,0.012436,0.028288,0.429546
adhesive_peeling,compliance_drift,calendar_recalibration,112,46.513319,0.000000,9.815845,0.000000,0.426095,0.199123,0.078125,0.010570,0.225729,0.017128,0.337680,0.037107,0.102997,44.236768,0.017844,0.125535,0.373696
adhesive_peeling,compliance_drift,conservative_fallback,112,43.030218,0.000000,13.820064,0.000000,0.317936,0.111037,0.022962,0.010000,0.191223,0.011569,0.318920,0.045353,0.076564,104.333333,0.019084,0.013891,0.160620
adhesive_peeling,compliance_drift,continual_finetuning,112,56.042558,0.000000,16.965324,0.000000,0.393875,0.185071,0.093262,0.029567,0.247621,0.071644,1.020544,0.061845,0.097982,34.783243,0.014655,0.024063,0.084357
adhesive_peeling,compliance_drift,domain_randomized,112,46.846511,0.000000,15.152872,0.000000,0.344361,0.125573,0.024834,0.010000,0.202420,0.036378,0.375200,0.032984,0.082328,104.333333,0.017589,0.013040,0.196012
adhesive_peeling,compliance_drift,ensemble_gating,112,51.010309,0.000000,15.656533,0.000000,0.367981,0.171702,0.085877,0.032753,0.236439,0.054102,0.750400,0.065968,0.095017,33.649534,0.016193,0.027453,0.197542
adhesive_peeling,compliance_drift,frozen,112,30.335630,0.000000,9.874889,0.000000,0.221874,0.042573,0.010000,0.010000,0.141491,0.017529,0.000000,0.020615,0.056056,104.333333,0.027152,0.017982,0.216000
