skill,drift,policy,n,mean_h50,censored50,mean_h80,censored80,day60,day120,day180,day240,auc,uptime70,maintenance_cost,evaluation_cost,shock_loss,recovery_lag,hazard_proxy,nonmonotonic_index,durability_score
adhesive_peeling,compliance_drift,human_repair,112,126.120677,0.000000,33.667187,0.000000,0.578129,0.427661,0.337480,0.285869,0.454677,0.087175,1.440768,0.098952,0.068111,17.372012,0.004619,0.044909,0.852021
adhesive_peeling,compliance_drift,meta_adaptation,112,85.808682,0.000000,26.945515,0.000000,0.532424,0.356527,0.270248,0.195642,0.395530,0.078894,1.080576,0.070091,0.086068,21.458449,0.008135,0.040714,0.615969
adhesive_peeling,compliance_drift,oracle_maintenance,112,241.000000,1.000000,64.446453,0.000000,0.698454,0.629276,0.583721,0.539707,0.638398,0.243310,1.163120,0.123690,0.056527,8.074961,0.001396,0.034552,2.558288
adhesive_peeling,compliance_drift,overfit_rapid_adaptation,112,64.237190,0.000000,22.673034,0.000000,0.456437,0.233082,0.107161,0.019072,0.282922,0.076461,0.469000,0.057722,0.097642,20.875106,0.012780,0.015117,0.646786
adhesive_peeling,compliance_drift,self_calibration,112,64.204884,0.000000,18.722375,0.000000,0.455498,0.264456,0.172338,0.115668,0.311337,0.084881,0.810432,0.053599,0.091525,28.374912,0.011663,0.030037,0.452781
adhesive_peeling,compliance_drift,sentinel_rehearsal,112,57.510856,0.000000,16.675920,0.000000,0.406089,0.206323,0.116561,0.063584,0.264655,0.068297,0.720384,0.053599,0.097238,29.380551,0.014006,0.026445,0.352124
adhesive_peeling,compliance_drift,tactile_servo_refresh,112,65.235401,0.000000,25.607891,0.000000,0.481897,0.318428,0.230810,0.165018,0.360392,0.075011,0.960512,0.074214,0.084105,23.027778,0.010724,0.029941,0.446257
adhesive_peeling,compliance_drift,uncertainty_rehearsal,112,64.922868,0.000000,23.788552,0.000000,0.491194,0.304241,0.205645,0.142160,0.342688,0.077884,0.900480,0.074214,0.088078,23.430798,0.011164,0.029719,0.452342
adhesive_peeling,compound_shock,active_evaluation,112,31.703456,0.000000,12.418216,0.000000,0.255144,0.082361,0.017830,0.010000,0.174011,0.009144,0.889630,0.092378,0.105644,31.382834,0.025951,0.027765,-0.235607
adhesive_peeling,compound_shock,adaptive_recalibration,112,42.594486,0.000000,16.677995,0.000000,0.356762,0.188917,0.109111,0.066253,0.254240,0.034487,0.930384,0.058786,0.125884,26.867100,0.019271,0.036536,0.002338
adhesive_peeling,compound_shock,calendar_recalibration,112,31.752425,0.000000,8.531251,0.000000,0.314395,0.098779,0.010389,0.010000,0.165063,0.022255,0.357840,0.037791,0.106617,43.967776,0.026218,0.143182,0.122070
adhesive_peeling,compound_shock,conservative_fallback,112,31.415147,0.000000,11.514712,0.000000,0.216436,0.026329,0.010000,0.010000,0.146691,0.011781,0.337960,0.046189,0.096089,119.000000,0.026201,0.019635,-0.089568
adhesive_peeling,compound_shock,continual_finetuning,112,32.409007,0.000000,14.340638,0.000000,0.302722,0.117666,0.043672,0.010051,0.202135,0.024144,1.155099,0.062985,0.121124,34.122693,0.025413,0.031418,-0.362142
adhesive_peeling,compound_shock,domain_randomized,112,31.639263,0.000000,12.755427,0.000000,0.238375,0.032427,0.010000,0.010000,0.155066,0.009504,0.397600,0.033592,0.100855,119.000000,0.025957,0.018747,-0.115829
adhesive_peeling,compound_shock,ensemble_gating,112,31.821413,0.000000,13.256300,0.000000,0.276543,0.102884,0.034394,0.010025,0.188323,0.008853,0.830700,0.067184,0.115806,32.826887,0.025828,0.034169,-0.171174
adhesive_peeling,compound_shock,frozen,112,25.510406,0.000000,8.507387,0.000000,0.106627,0.010000,0.010000,0.010000,0.108140,0.022038,0.000000,0.020995,0.078530,119.000000,0.032279,0.025000,0.060996
adhesive_peeling,compound_shock,human_repair,112,88.206259,0.000000,26.011574,0.000000,0.535942,0.394016,0.314450,0.273032,0.427902,0.063217,1.717632,0.100776,0.107840,18.802223,0.006916,0.044275,0.209705
adhesive_peeling,compound_shock,meta_adaptation,112,82.303303,0.000000,23.302480,0.000000,0.475593,0.310229,0.236118,0.173864,0.359495,0.074500,1.288224,0.071383,0.107117,22.216200,0.008495,0.040244,0.350916
adhesive_peeling,compound_shock,oracle_maintenance,112,241.000000,1.000000,82.560124,0.000000,0.698967,0.641149,0.602906,0.566028,0.646151,0.200399,1.232560,0.125970,0.070702,8.585257,0.001355,0.045381,2.471829
adhesive_peeling,compound_shock,overfit_rapid_adaptation,112,52.133847,0.000000,19.456576,0.000000,0.391770,0.179446,0.065966,0.010000,0.244406,0.086293,0.497000,0.058786,0.114944,21.497989,0.015900,0.029231,0.441656
adhesive_peeling,compound_shock,self_calibration,112,43.375219,0.000000,15.900281,0.000000,0.382764,0.210906,0.138302,0.095843,0.272759,0.053927,0.966168,0.054587,0.119154,28.068860,0.018065,0.036227,0.037979
adhesive_peeling,compound_shock,sentinel_rehearsal,112,35.259244,0.000000,14.152800,0.000000,0.324880,0.145113,0.073710,0.031716,0.219846,0.020750,0.858816,0.054587,0.127321,29.119616,0.023377,0.034821,-0.090693
adhesive_peeling,compound_shock,tactile_servo_refresh,112,65.351785,0.000000,21.257379,0.000000,0.418770,0.272275,0.201712,0.151757,0.326614,0.062496,1.145088,0.075582,0.107051,23.820950,0.011332,0.036886,0.225170
adhesive_peeling,compound_shock,uncertainty_rehearsal,112,61.967623,0.000000,19.620892,0.000000,0.428767,0.254753,0.170826,0.119473,0.305112,0.060483,1.073520,0.075582,0.115420,24.326155,0.012416,0.035694,0.196674
adhesive_peeling,controller_latency,active_evaluation,112,62.088666,0.000000,19.036428,0.000000,0.421302,0.202712,0.135154,0.077151,0.287763,0.084706,0.664048,0.087989,0.084950,32.378202,0.012302,0.016254,0.476954
adhesive_peeling,controller_latency,adaptive_recalibration,112,84.814222,0.000000,26.809197,0.000000,0.500732,0.302493,0.214266,0.150535,0.364225,0.075804,0.616616,0.055993,0.079722,26.029997,0.008100,0.021206,0.874303
adhesive_peeling,controller_latency,calendar_recalibration,112,69.841987,0.000000,12.296936,0.000000,0.490630,0.259484,0.173097,0.087759,0.301314,0.009835,0.304920,0.035995,0.114507,49.962266,0.010844,0.110429,0.708433
adhesive_peeling,controller_latency,conservative_fallback,112,55.784029,0.000000,18.000900,0.000000,0.394762,0.170138,0.098029,0.035792,0.257580,0.085523,0.287980,0.043995,0.087073,101.000000,0.014352,0.011822,0.475466
adhesive_peeling,controller_latency,continual_finetuning,112,72.597063,0.000000,21.853364,0.000000,0.466002,0.236617,0.163933,0.093658,0.318253,0.079235,0.806344,0.059992,0.091701,35.821218,0.010238,0.013017,0.517145
adhesive_peeling,controller_latency,domain_randomized,112,60.262051,0.000000,19.410456,0.000000,0.415991,0.186017,0.108732,0.038068,0.270273,0.086427,0.338800,0.031996,0.093758,101.000000,0.013219,0.011069,0.501958
adhesive_peeling,controller_latency,ensemble_gating,112,66.609465,0.000000,20.011624,0.000000,0.437123,0.220303,0.150075,0.088626,0.301485,0.085789,0.592900,0.063992,0.087061,34.094198,0.011262,0.012853,0.595787
adhesive_peeling,controller_latency,frozen,112,38.869930,0.000000,12.360308,0.000000,0.289386,0.079873,0.043858,0.010077,0.187721,0.009963,0.000000,0.019998,0.068572,101.000000,0.021174,0.011969,0.364595
adhesive_peeling,controller_latency,human_repair,112,169.076785,0.000000,43.420398,0.000000,0.626233,0.471994,0.390348,0.338033,0.510333,0.142161,1.138368,0.095988,0.065775,17.287894,0.002951,0.026376,1.597941
adhesive_peeling,controller_latency,meta_adaptation,112,117.112961,0.000000,38.849212,0.000000,0.587444,0.408270,0.334572,0.256254,0.457825,0.113143,0.853776,0.067991,0.078023,21.168821,0.004991,0.015838,1.203400
adhesive_peeling,controller_latency,oracle_maintenance,112,241.000000,1.000000,94.333963,0.000000,0.727028,0.649098,0.600253,0.561130,0.664161,0.330460,1.050280,0.119985,0.043428,7.603412,0.001169,0.022406,2.770889
adhesive_peeling,controller_latency,overfit_rapid_adaptation,112,88.674657,0.000000,29.198147,0.000000,0.523821,0.297605,0.185747,0.094212,0.355998,0.076942,0.423500,0.055993,0.095064,20.782317,0.008350,0.006182,1.030109
adhesive_peeling,controller_latency,self_calibration,112,88.943545,0.000000,25.386381,0.000000,0.520457,0.315039,0.234151,0.168835,0.374555,0.072202,0.640332,0.051994,0.086039,28.177417,0.007533,0.016901,0.900427
adhesive_peeling,controller_latency,sentinel_rehearsal,112,75.934256,0.000000,21.489261,0.000000,0.476624,0.261160,0.182571,0.119807,0.332589,0.081334,0.569184,0.051994,0.086083,28.978977,0.009428,0.013683,0.765426
adhesive_peeling,controller_latency,tactile_servo_refresh,112,94.820517,0.000000,30.959309,0.000000,0.542129,0.366740,0.288649,0.214857,0.419918,0.102438,0.758912,0.071991,0.085052,23.061871,0.006523,0.024274,0.981077
adhesive_peeling,controller_latency,uncertainty_rehearsal,112,94.165099,0.000000,29.449255,0.000000,0.551935,0.358173,0.270556,0.199266,0.406317,0.091397,0.711480,0.071991,0.079000,23.104001,0.006727,0.013232,0.980536
adhesive_peeling,fixture_pose_shift,active_evaluation,112,50.221002,0.000000,19.106223,0.000000,0.379284,0.167682,0.125929,0.060161,0.273936,0.085126,0.815360,0.089870,0.123677,33.772358,0.015943,0.019109,0.201295
adhesive_peeling,fixture_pose_shift,adaptive_recalibration,112,83.902477,0.000000,27.184546,0.000000,0.470819,0.279149,0.223047,0.152989,0.361751,0.076994,0.757120,0.057190,0.102058,26.834101,0.008368,0.024162,0.741834
adhesive_peeling,fixture_pose_shift,calendar_recalibration,112,45.617214,0.000000,12.435217,0.000000,0.439750,0.215828,0.147904,0.052347,0.272740,0.010781,0.327600,0.036765,0.134202,48.120109,0.017661,0.116018,0.411907
adhesive_peeling,fixture_pose_shift,conservative_fallback,112,44.313857,0.000000,17.793374,0.000000,0.347681,0.121810,0.065469,0.010642,0.231087,0.076215,0.309400,0.044935,0.119527,124.333333,0.018593,0.008924,0.215048
adhesive_peeling,fixture_pose_shift,continual_finetuning,112,61.923037,0.000000,21.739674,0.000000,0.419263,0.209481,0.160730,0.081852,0.306470,0.079717,0.990080,0.061275,0.115813,36.689282,0.012409,0.015174,0.247868
adhesive_peeling,fixture_pose_shift,domain_randomized,112,47.985845,0.000000,19.318772,0.000000,0.367638,0.135354,0.074302,0.010593,0.243214,0.086610,0.364000,0.032680,0.124210,124.333333,0.017227,0.008623,0.240622
adhesive_peeling,fixture_pose_shift,ensemble_gating,112,54.135523,0.000000,19.997061,0.000000,0.393923,0.187630,0.142658,0.073625,0.287982,0.085282,0.728000,0.065360,0.120803,35.308892,0.014478,0.017945,0.330940
adhesive_peeling,fixture_pose_shift,frozen,112,37.814461,0.000000,12.247448,0.000000,0.228421,0.018788,0.010801,0.010000,0.160236,0.010181,0.000000,0.020425,0.107150,124.333333,0.021728,0.020326,0.213958
adhesive_peeling,fixture_pose_shift,human_repair,112,184.398131,0.000000,38.486988,0.000000,0.611115,0.463137,0.417253,0.362196,0.519384,0.135731,1.397760,0.098040,0.069840,17.434251,0.002724,0.033038,1.559787
adhesive_peeling,fixture_pose_shift,meta_adaptation,112,111.898067,0.000000,38.105379,0.000000,0.562538,0.387693,0.348653,0.266173,0.459347,0.109477,1.048320,0.069445,0.091200,21.643213,0.005205,0.024333,1.006204
adhesive_peeling,fixture_pose_shift,oracle_maintenance,112,241.000000,1.000000,109.554574,0.000000,0.729473,0.661404,0.647379,0.609109,0.688697,0.427064,1.128400,0.122550,0.052060,7.914176,0.001079,0.034372,2.831685
adhesive_peeling,fixture_pose_shift,overfit_rapid_adaptation,112,87.549465,0.000000,29.043480,0.000000,0.495349,0.267739,0.184453,0.082169,0.347616,0.078298,0.455000,0.057190,0.114479,21.481250,0.008658,0.010781,0.964717
adhesive_peeling,fixture_pose_shift,self_calibration,112,87.357847,0.000000,25.015605,0.000000,0.484560,0.291454,0.242993,0.172572,0.370169,0.072923,0.786240,0.053105,0.105660,28.883771,0.007896,0.031576,0.757087
adhesive_peeling,fixture_pose_shift,sentinel_rehearsal,112,67.666491,0.000000,21.404729,0.000000,0.439033,0.230386,0.180565,0.111258,0.322813,0.080809,0.698880,0.053105,0.112299,29.922769,0.010966,0.018965,0.556274
adhesive_peeling,fixture_pose_shift,tactile_servo_refresh,112,106.782367,0.000000,31.099036,0.000000,0.514684,0.346613,0.307312,0.229275,0.422569,0.100931,0.931840,0.073530,0.087445,23.148017,0.005776,0.025391,0.968057
adhesive_peeling,fixture_pose_shift,uncertainty_rehearsal,112,102.471237,0.000000,29.595875,0.000000,0.524602,0.336065,0.282839,0.206519,0.405001,0.089682,0.873600,0.073530,0.092987,23.607541,0.006300,0.028719,0.923584
adhesive_peeling,friction_humidity,active_evaluation,112,35.439742,0.000000,14.047293,0.000000,0.291573,0.097024,0.011202,0.036232,0.204279,0.016424,0.852992,0.091124,0.133695,34.133029,0.023195,0.022187,-0.148797
adhesive_peeling,friction_humidity,adaptive_recalibration,112,53.129699,0.000000,19.505063,0.000000,0.391860,0.204933,0.086636,0.112544,0.288002,0.071862,0.792064,0.057988,0.129085,27.807058,0.014213,0.029048,0.279920
adhesive_peeling,friction_humidity,calendar_recalibration,112,36.150336,0.000000,9.394447,0.000000,0.352664,0.127519,0.011165,0.012239,0.195352,0.019330,0.342720,0.037278,0.146746,51.122862,0.022714,0.133343,0.168955
adhesive_peeling,friction_humidity,conservative_fallback,112,34.627128,0.000000,13.228458,0.000000,0.260499,0.054545,0.010000,0.010000,0.173547,0.008901,0.323680,0.045562,0.120968,137.666667,0.023737,0.012545,-0.074922
adhesive_peeling,friction_humidity,continual_finetuning,112,37.832900,0.000000,16.063908,0.000000,0.336476,0.127650,0.029843,0.053146,0.233758,0.053766,1.035776,0.062130,0.132095,37.275435,0.021415,0.021360,-0.166696
adhesive_peeling,friction_humidity,domain_randomized,112,34.927573,0.000000,14.374419,0.000000,0.279137,0.061155,0.010000,0.010000,0.181735,0.031681,0.380800,0.033136,0.125594,137.666667,0.023600,0.012036,-0.077702
adhesive_peeling,friction_humidity,ensemble_gating,112,36.233718,0.000000,14.805520,0.000000,0.310017,0.114750,0.019457,0.050520,0.218616,0.038481,0.761600,0.066272,0.131622,35.698388,0.022691,0.030055,-0.025944
adhesive_peeling,friction_humidity,frozen,112,28.843067,0.000000,9.450206,0.000000,0.144437,0.010000,0.010000,0.010000,0.124110,0.019101,0.000000,0.020710,0.101853,137.666667,0.028520,0.022000,0.048897
adhesive_peeling,friction_humidity,human_repair,112,104.043502,0.000000,32.424455,0.000000,0.558142,0.403037,0.278547,0.301479,0.453465,0.080623,1.462272,0.099408,0.097254,18.421156,0.005405,0.037443,0.601550
adhesive_peeling,friction_humidity,meta_adaptation,112,95.766265,0.000000,25.973172,0.000000,0.503175,0.323905,0.209563,0.211590,0.388800,0.078082,1.096704,0.070414,0.104117,22.108228,0.006650,0.051985,0.663832
adhesive_peeling,friction_humidity,oracle_maintenance,112,241.000000,1.000000,96.745427,0.000000,0.705508,0.634380,0.553872,0.560672,0.651476,0.254563,1.180480,0.124260,0.060664,8.223889,0.001216,0.035172,2.574265
adhesive_peeling,friction_humidity,overfit_rapid_adaptation,112,61.319756,0.000000,21.600836,0.000000,0.421281,0.194854,0.038929,0.032584,0.273496,0.078967,0.476000,0.057988,0.131787,22.104328,0.013177,0.020432,0.567353
adhesive_peeling,friction_humidity,self_calibration,112,52.628761,0.000000,17.744588,0.000000,0.411056,0.218468,0.110464,0.136471,0.300199,0.077142,0.822528,0.053846,0.124308,29.555099,0.014125,0.026960,0.281505
adhesive_peeling,friction_humidity,sentinel_rehearsal,112,41.823705,0.000000,15.982476,0.000000,0.359805,0.159704,0.052876,0.082701,0.253278,0.050914,0.731136,0.053846,0.131348,30.608526,0.018774,0.025173,0.134859
adhesive_peeling,friction_humidity,tactile_servo_refresh,112,77.930812,0.000000,24.651143,0.000000,0.448681,0.284081,0.172264,0.186476,0.355306,0.076058,0.974848,0.074556,0.104650,23.767414,0.008633,0.027313,0.521992
adhesive_peeling,friction_humidity,uncertainty_rehearsal,112,73.300856,0.000000,23.077741,0.000000,0.461663,0.272698,0.148949,0.162630,0.339245,0.077973,0.913920,0.074556,0.110371,24.233364,0.009532,0.027478,0.490179
adhesive_peeling,gripper_pad_wear,active_evaluation,112,52.036870,0.000000,16.087659,0.000000,0.300571,0.175690,0.072747,0.061016,0.246198,0.059711,0.691488,0.089034,0.112474,33.369053,0.014949,0.012645,0.245629
adhesive_peeling,gripper_pad_wear,adaptive_recalibration,112,59.731573,0.000000,23.381390,0.000000,0.395159,0.279429,0.161457,0.131703,0.328605,0.079102,0.642096,0.056658,0.101796,26.824645,0.011736,0.014469,0.549071
adhesive_peeling,gripper_pad_wear,calendar_recalibration,112,48.543033,0.000000,10.662467,0.000000,0.372511,0.227498,0.089331,0.059486,0.250524,0.015013,0.317520,0.036423,0.067391,48.266065,0.016067,0.117151,0.469916
adhesive_peeling,gripper_pad_wear,conservative_fallback,112,46.909167,0.000000,15.160321,0.000000,0.279285,0.132504,0.030248,0.016661,0.210574,0.033814,0.299880,0.044517,0.117207,136.000000,0.017409,0.009263,0.146220
adhesive_peeling,gripper_pad_wear,continual_finetuning,112,58.962231,0.000000,18.800831,0.000000,0.353677,0.217228,0.102050,0.077303,0.279602,0.084132,0.839664,0.060705,0.113767,36.615597,0.012800,0.009403,0.285500
adhesive_peeling,gripper_pad_wear,domain_randomized,112,51.322500,0.000000,16.624269,0.000000,0.298128,0.149071,0.034039,0.015830,0.222547,0.063007,0.352800,0.032376,0.124379,136.000000,0.015944,0.006917,0.193064
adhesive_peeling,gripper_pad_wear,ensemble_gating,112,55.906334,0.000000,17.274225,0.000000,0.324735,0.198170,0.091152,0.074203,0.263467,0.068159,0.617400,0.064752,0.113644,35.051196,0.013584,0.013349,0.374171
adhesive_peeling,gripper_pad_wear,frozen,112,32.909536,0.000000,10.608034,0.000000,0.156663,0.056193,0.010000,0.010000,0.152348,0.015436,0.000000,0.020235,0.093647,136.000000,0.024986,0.010205,0.143538
adhesive_peeling,gripper_pad_wear,human_repair,112,141.570195,0.000000,35.822350,0.000000,0.538202,0.453674,0.347862,0.307506,0.478922,0.106028,1.185408,0.097128,0.087991,18.087682,0.003729,0.031426,1.209321
adhesive_peeling,gripper_pad_wear,meta_adaptation,112,110.221331,0.000000,30.099828,0.000000,0.492777,0.385706,0.283439,0.225888,0.423687,0.088326,0.889056,0.068799,0.093617,21.730220,0.005533,0.021399,1.020081
adhesive_peeling,gripper_pad_wear,oracle_maintenance,112,241.000000,1.000000,63.098548,0.000000,0.656155,0.645838,0.588610,0.540068,0.651482,0.245477,1.093680,0.121410,0.053290,7.958435,0.001209,0.023757,2.635752
adhesive_peeling,gripper_pad_wear,overfit_rapid_adaptation,112,61.661599,0.000000,24.784964,0.000000,0.413776,0.266805,0.126390,0.060590,0.314345,0.069417,0.441000,0.056658,0.115115,21.504144,0.012531,0.006378,0.675335
adhesive_peeling,gripper_pad_wear,self_calibration,112,61.068030,0.000000,20.283623,0.000000,0.411515,0.289768,0.176798,0.146782,0.334637,0.085035,0.666792,0.052611,0.089468,28.300858,0.011212,0.014236,0.568434
adhesive_peeling,gripper_pad_wear,sentinel_rehearsal,112,59.304985,0.000000,18.413177,0.000000,0.366903,0.236194,0.125068,0.101220,0.294181,0.087897,0.592704,0.052611,0.112235,29.920458,0.012330,0.011620,0.511524
adhesive_peeling,gripper_pad_wear,tactile_servo_refresh,112,82.482938,0.000000,27.509725,0.000000,0.441143,0.346407,0.239976,0.192501,0.386670,0.081701,0.790272,0.072846,0.087771,23.159773,0.007886,0.014727,0.769243
adhesive_peeling,gripper_pad_wear,uncertainty_rehearsal,112,72.194124,0.000000,25.945538,0.000000,0.450373,0.333513,0.217002,0.174286,0.368768,0.073280,0.740880,0.072846,0.096203,23.723308,0.009198,0.014195,0.663734
adhesive_peeling,lighting_perception,active_evaluation,112,71.497115,0.000000,21.399975,0.000000,0.454515,0.250434,0.121070,0.100391,0.316152,0.080954,0.658560,0.087780,0.095825,32.769708,0.010267,0.007172,0.601279
adhesive_peeling,lighting_perception,adaptive_recalibration,112,83.485064,0.000000,29.741700,0.000000,0.531158,0.352244,0.210147,0.179930,0.395174,0.089572,0.611520,0.055860,0.094798,26.572734,0.007864,0.010779,0.916898
adhesive_peeling,lighting_perception,calendar_recalibration,112,75.518240,0.000000,14.211973,0.000000,0.524479,0.313091,0.167873,0.124679,0.334024,0.021317,0.302400,0.035910,0.107474,49.709071,0.009502,0.099699,0.835283
adhesive_peeling,lighting_perception,conservative_fallback,112,62.740857,0.000000,20.105047,0.000000,0.425513,0.208787,0.085697,0.057099,0.281575,0.086178,0.285600,0.043890,0.098188,116.000000,0.012357,0.004565,0.534830
adhesive_peeling,lighting_perception,continual_finetuning,112,78.356397,0.000000,24.609395,0.000000,0.498494,0.290513,0.157534,0.122163,0.349388,0.069529,0.799680,0.059850,0.098732,36.074362,0.009075,0.007632,0.612974
adhesive_peeling,lighting_perception,domain_randomized,112,68.716027,0.000000,21.838157,0.000000,0.450078,0.229988,0.097552,0.063841,0.298173,0.079583,0.336000,0.031920,0.103869,116.000000,0.011202,0.003820,0.576441
adhesive_peeling,lighting_perception,ensemble_gating,112,75.885404,0.000000,22.489238,0.000000,0.470671,0.269931,0.140109,0.113324,0.330995,0.076995,0.588000,0.063840,0.094963,34.378681,0.009492,0.007229,0.719105
adhesive_peeling,lighting_perception,frozen,112,44.257067,0.000000,14.188331,0.000000,0.327069,0.115491,0.014732,0.013467,0.205569,0.023447,0.000000,0.019950,0.091760,116.000000,0.018535,0.012264,0.397425
adhesive_peeling,lighting_perception,human_repair,112,174.380553,0.000000,50.401893,0.000000,0.644994,0.512480,0.393461,0.369267,0.535802,0.157484,1.128960,0.095760,0.066060,17.298153,0.002664,0.030919,1.709665
adhesive_peeling,lighting_perception,meta_adaptation,112,146.532064,0.000000,42.204593,0.000000,0.610125,0.453090,0.335664,0.288740,0.486132,0.142421,0.846720,0.067830,0.077886,21.163899,0.003723,0.018544,1.547734
