policy,threshold_fraction,horizon_days,mean_crossing_days,censored_fraction,end_success
frozen,0.800000,60,7.395833,0.000000,0.082676
calendar_recalibration,0.800000,60,6.333333,0.000000,0.309223
sentinel_rehearsal,0.800000,60,32.833333,0.000000,0.623185
oracle_adapt,0.800000,60,50.770833,0.000000,0.696665
frozen,0.500000,60,21.187500,0.000000,0.082676
calendar_recalibration,0.500000,60,21.750000,0.000000,0.309223
sentinel_rehearsal,0.500000,60,61.000000,1.000000,0.623185
oracle_adapt,0.500000,60,61.000000,1.000000,0.696665
frozen,0.800000,120,7.395833,0.000000,0.000237
calendar_recalibration,0.800000,120,6.333333,0.000000,0.234163
sentinel_rehearsal,0.800000,120,32.833333,0.000000,0.320269
oracle_adapt,0.800000,120,50.770833,0.000000,0.542024
frozen,0.500000,120,21.187500,0.000000,0.000237
calendar_recalibration,0.500000,120,21.750000,0.000000,0.234163
sentinel_rehearsal,0.500000,120,88.979167,0.000000,0.320269
oracle_adapt,0.500000,120,121.000000,1.000000,0.542024
