source,query,title,authors,year,doi,venue,url,relevance_score,notes
crossref,robot sim to real adaptation,self-supervised sim-to-real adaptation for visual robotic manipulation,Jeong; Aytar; Khosid; Zhou; Kay; Lampe,2020,10.1109/icra40945.2020.9197326,2020 IEEE International Conference on Robotics and Automation (ICRA),https://doi.org/10.1109/icra40945.2020.9197326,6,
crossref,robot sim to real adaptation,automatic real-to-sim-to-real system through iterative interactions for robust robot manipulation policy learning with unseen objects,Kang; Kee; Lee; Oh,2025,10.1109/iros60139.2025.11247488,2025 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),https://doi.org/10.1109/iros60139.2025.11247488,6,
crossref,robot self calibration manipulation,self-calibration of a simplified camera using kruppa equations,Habed; Boufama,2004,10.1109/cccrv.2004.1301481,"First Canadian Conference on Computer and Robot Vision, 2004. Proceedings.",https://doi.org/10.1109/cccrv.2004.1301481,5,
crossref,robot self calibration manipulation,simultaneous localization and odometry self calibration for mobile robot,Martinelli; Tomatis; Siegwart,2006,10.1007/s10514-006-9006-7,Autonomous Robots,https://doi.org/10.1007/s10514-006-9006-7,5,
crossref,robot self calibration manipulation,the kinematic self-calibration method and simulation of one palletizing robot,Dunmin Lu; Chuanqing Zhang; Yuezhen Fan; Xiangdong Yang; Ken Chen,2010,10.1109/wcica.2010.5554304,2010 8th World Congress on Intelligent Control and Automation,https://doi.org/10.1109/wcica.2010.5554304,5,
crossref,policy drift robotics,drift-correcting self-calibration for visual-inertial slam,Nobre; Kasper; Heckman,2017,10.1109/icra.2017.7989771,2017 IEEE International Conference on Robotics and Automation (ICRA),https://doi.org/10.1109/icra.2017.7989771,5,
crossref,robot self calibration manipulation,simultaneous calibration of a robot and a hand-mounted camera,Zhuang; Roth,2018,10.1201/9781315138725-7,Camera-Aided Robot Calibration,https://doi.org/10.1201/9781315138725-7,5,
crossref,robot sim to real adaptation,accelerated robot skill acquisition by reinforcement learning-aided sim-to-real domain adaptation,Loncarcvic; Ude; Gams,2021,10.1109/icar53236.2021.9659351,2021 20th International Conference on Advanced Robotics (ICAR),https://doi.org/10.1109/icar53236.2021.9659351,5,
crossref,robot sim to real adaptation,zero-shot sim-to-real transfer of tactile control policies for aggressive swing-up manipulation,Bi; Sferrazza; D’Andrea,2021,10.1109/lra.2021.3084880,IEEE Robotics and Automation Letters,https://doi.org/10.1109/lra.2021.3084880,5,
crossref,robot self calibration manipulation,simulation study on robot calibration approaches,Kozlov; Klimchik,2022,10.5220/0011321800003271,"Proceedings of the 19th International Conference on Informatics in Control, Automation and Robotics",https://doi.org/10.5220/0011321800003271,5,
crossref,robot sim to real adaptation,markerless camera-to-robot pose estimation via self-supervised sim-to-real transfer,Lu; Richter; Yip,2023,10.1109/cvpr52729.2023.02040,2023 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),https://doi.org/10.1109/cvpr52729.2023.02040,5,
