policy,trial,day,success_probability
frozen,3,31,0.316644
frozen,3,32,0.306889
frozen,3,33,0.297464
frozen,3,34,0.288356
frozen,3,35,0.279556
frozen,3,36,0.271052
frozen,3,37,0.262835
frozen,3,38,0.254895
frozen,3,39,0.247223
frozen,3,40,0.239809
frozen,3,41,0.232646
frozen,3,42,0.225724
frozen,3,43,0.174035
frozen,3,44,0.167572
frozen,3,45,0.161327
frozen,3,46,0.155292
frozen,3,47,0.149461
frozen,3,48,0.143826
frozen,3,49,0.138382
frozen,3,50,0.133121
frozen,3,51,0.128037
frozen,3,52,0.123125
frozen,3,53,0.118379
frozen,3,54,0.113792
frozen,3,55,0.109360
frozen,3,56,0.105078
frozen,3,57,0.100940
frozen,3,58,0.096941
frozen,3,59,0.093078
frozen,3,60,0.089344
frozen,4,0,0.897482
frozen,4,1,0.866107
frozen,4,2,0.835891
frozen,4,3,0.806792
frozen,4,4,0.778769
frozen,4,5,0.751781
frozen,4,6,0.725791
frozen,4,7,0.700761
frozen,4,8,0.676656
frozen,4,9,0.653443
frozen,4,10,0.631087
frozen,4,11,0.609558
frozen,4,12,0.588824
frozen,4,13,0.568857
frozen,4,14,0.549627
frozen,4,15,0.531109
frozen,4,16,0.513275
frozen,4,17,0.496100
frozen,4,18,0.479560
frozen,4,19,0.463631
frozen,4,20,0.448291
frozen,4,21,0.403518
frozen,4,22,0.389290
frozen,4,23,0.375589
frozen,4,24,0.362394
frozen,4,25,0.349687
frozen,4,26,0.337450
frozen,4,27,0.325665
frozen,4,28,0.314315
frozen,4,29,0.303385
frozen,4,30,0.292859
frozen,4,31,0.282722
frozen,4,32,0.272959
frozen,4,33,0.263558
frozen,4,34,0.254503
frozen,4,35,0.245784
frozen,4,36,0.237387
frozen,4,37,0.229300
frozen,4,38,0.221512
frozen,4,39,0.214012
frozen,4,40,0.206789
frozen,4,41,0.199833
frozen,4,42,0.193134
frozen,4,43,0.141683
frozen,4,44,0.135470
frozen,4,45,0.129487
frozen,4,46,0.123725
frozen,4,47,0.118176
frozen,4,48,0.112832
frozen,4,49,0.107686
frozen,4,50,0.102729
frozen,4,51,0.097956
frozen,4,52,0.093360
frozen,4,53,0.088933
frozen,4,54,0.084670
frozen,4,55,0.080564
frozen,4,56,0.076611
frozen,4,57,0.072803
frozen,4,58,0.069136
frozen,4,59,0.065605
frozen,4,60,0.062204
frozen,5,0,0.893434
frozen,5,1,0.867954
frozen,5,2,0.843253
frozen,5,3,0.819307
frozen,5,4,0.796093
frozen,5,5,0.773588
frozen,5,6,0.751772
frozen,5,7,0.730622
frozen,5,8,0.710118
frozen,5,9,0.690241
frozen,5,10,0.670972
frozen,5,11,0.652292
frozen,5,12,0.634182
frozen,5,13,0.616627
frozen,5,14,0.599607
frozen,5,15,0.583108
frozen,5,16,0.567114
frozen,5,17,0.551608
frozen,5,18,0.536576
frozen,5,19,0.522003
frozen,5,20,0.507876
frozen,5,21,0.464181
frozen,5,22,0.450904
frozen,5,23,0.438033
frozen,5,24,0.425556
frozen,5,25,0.413460
frozen,5,26,0.401733
frozen,5,27,0.390365
frozen,5,28,0.379345
frozen,5,29,0.368661
frozen,5,30,0.358304
frozen,5,31,0.348264
frozen,5,32,0.338530
frozen,5,33,0.329094
frozen,5,34,0.319946
frozen,5,35,0.311078
frozen,5,36,0.302481
frozen,5,37,0.294146
frozen,5,38,0.286067
frozen,5,39,0.278234
frozen,5,40,0.270641
frozen,5,41,0.263280
frozen,5,42,0.256144
frozen,5,43,0.204226
frozen,5,44,0.197519
frozen,5,45,0.191017
frozen,5,46,0.184714
frozen,5,47,0.178604
frozen,5,48,0.172681
frozen,5,49,0.166938
frozen,5,50,0.161371
frozen,5,51,0.155975
frozen,5,52,0.150743
frozen,5,53,0.145671
frozen,5,54,0.140754
frozen,5,55,0.135987
frozen,5,56,0.131367
